id,date,ticker,senti_label,difference,emo_ambiguous,emo_amusement,emo_anger,emo_anxiety,emo_belief,emo_confusion,emo_depression,emo_disgust,emo_excitement,emo_optimism,emo_panic,emo_surprise
108002,2020-01-02,TSLA,True,-0.3840007781982422,False,False,False,False,False,False,False,False,False,True,False,False
100025,2020-01-03,TSLA,True,-0.167333602905277,False,False,False,False,False,False,False,False,False,True,False,False
100019,2020-01-03,TSLA,True,-0.167333602905277,False,False,False,False,False,False,False,False,True,False,False,False
100020,2020-01-03,TSLA,True,-0.167333602905277,False,False,True,False,False,False,False,False,False,False,False,False
100021,2020-01-03,TSLA,True,-0.167333602905277,False,True,False,False,False,False,False,False,False,False,False,False
100023,2020-01-03,TSLA,True,-0.167333602905277,False,False,False,False,True,False,False,False,False,False,False,False
100024,2020-01-03,TSLA,True,-0.167333602905277,False,True,False,False,False,False,False,False,False,False,False,False
100031,2020-01-06,TSLA,True,-0.7379989624023438,False,False,True,False,False,False,False,False,False,False,False,False
100033,2020-01-06,TSLA,True,-0.7379989624023438,True,False,False,False,False,False,False,False,False,False,False,False
100034,2020-01-06,TSLA,True,-0.7379989624023438,False,False,False,True,False,False,False,False,False,False,False,False
100035,2020-01-06,TSLA,True,-0.7379989624023438,False,False,False,False,False,False,False,False,False,True,False,False
100049,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,False,True,False,False,False,False,False,False
100050,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,False,False,False,False,False,True,False,False
100052,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,False,False,False,False,False,True,False,False
108006,2020-01-07,TSLA,True,-0.5106658935546875,True,False,False,False,False,False,False,False,False,False,False,False
108005,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,False,False,False,False,False,False,True,False
100055,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,False,False,False,True,False,False,False,False
100054,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,False,False,False,False,False,True,False,False
100047,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,False,False,False,False,False,True,False,False
100048,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,True,False,False,False,False,False,False,False
100041,2020-01-07,TSLA,True,-0.5106658935546875,False,True,False,False,False,False,False,False,False,False,False,False
108008,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,False,False,False,False,True,False,False,False
100036,2020-01-07,TSLA,True,-0.5106658935546875,False,False,True,False,False,False,False,False,False,False,False,False
100044,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,False,False,False,False,False,True,False,False
100039,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,True,False,False,False,False,False,False,False
100040,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,False,False,False,False,False,True,False,False
100037,2020-01-07,TSLA,True,-0.5106658935546875,False,False,False,False,False,False,False,False,True,False,False,False
100081,2020-01-08,TSLA,True,-1.2293338775634766,False,False,False,False,False,False,False,False,True,False,False,False
100076,2020-01-08,TSLA,True,-1.2293338775634766,False,False,False,False,False,False,False,False,True,False,False,False
100075,2020-01-08,TSLA,True,-1.2293338775634766,True,False,False,False,False,False,False,False,False,False,False,False
100074,2020-01-08,TSLA,True,-1.2293338775634766,False,False,False,False,False,False,False,False,False,True,False,False
100072,2020-01-08,TSLA,True,-1.2293338775634766,False,True,False,False,False,False,False,False,False,False,False,False
