id,date,ticker,senti_label,difference,emo_ambiguous,emo_amusement,emo_anger,emo_anxiety,emo_belief,emo_confusion,emo_depression,emo_disgust,emo_excitement,emo_optimism,emo_panic,emo_surprise
100022,2020-01-03,AMZN,True,-0.52349853515625,False,True,False,False,False,False,False,False,False,False,False,False
100030,2020-01-06,AMZN,True,-2.1439971923827983,False,False,False,False,False,False,True,False,False,False,False,False
100053,2020-01-07,AMZN,True,-0.1180038452148437,False,False,False,False,False,False,False,False,False,True,False,False
100096,2020-01-09,AMZN,False,0.4420013427734375,False,False,False,False,True,False,False,False,False,False,False,False
109009,2020-01-10,AMZN,True,1.110504150390625,False,False,False,True,False,False,False,False,False,False,False,False
100152,2020-01-14,AMZN,True,0.821998596191392,False,False,False,False,False,False,False,False,False,True,False,False
100208,2020-01-16,AMZN,True,0.2524948120117187,False,True,False,False,False,False,False,False,False,False,False,False
100243,2020-01-21,AMZN,True,-1.3499984741210938,False,False,False,False,False,False,False,False,True,False,False,False
100245,2020-01-21,AMZN,True,-1.3499984741210938,False,False,False,False,True,False,False,False,False,False,False,False
100300,2020-01-24,AMZN,False,1.4864959716796875,False,False,False,True,False,False,False,False,False,False,False,False
100347,2020-01-29,AMZN,True,0.2999954223632954,False,False,False,False,False,False,False,False,False,True,False,False
100388,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,False,True,False,False,False,False,False,False,False
100393,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,False,False,False,False,False,False,True,False,False
100404,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,False,False,True,False,False,False,False,False,False
100409,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,False,False,False,False,False,False,False,False,True
100410,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,False,False,False,False,False,False,False,False,True
100411,2020-01-30,AMZN,True,-0.6339950561523295,True,False,False,False,False,False,False,False,False,False,False,False
100413,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,False,False,False,False,False,True,False,False,False
100415,2020-01-30,AMZN,True,-0.6339950561523295,False,True,False,False,False,False,False,False,False,False,False,False
100412,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,False,False,False,False,False,False,False,False,True
100420,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,False,False,False,False,True,False,False,False,False
108045,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,False,False,False,False,False,False,True,False,False
108048,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,True,False,False,False,False,False,False,False,False
109049,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,False,True,False,False,False,False,False,False,False
109050,2020-01-30,AMZN,True,-0.6339950561523295,False,True,False,False,False,False,False,False,False,False,False,False
100418,2020-01-30,AMZN,True,-0.6339950561523295,False,True,False,False,False,False,False,False,False,False,False,False
100416,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,True,False,False,False,False,False,False,False,False
100421,2020-01-30,AMZN,True,-0.6339950561523295,False,False,False,False,True,False,False,False,False,False,False,False
100438,2020-01-31,AMZN,True,2.1375045776367188,False,False,False,False,True,False,False,False,False,False,False,False
100439,2020-01-31,AMZN,True,2.1375045776367188,False,False,False,False,True,False,False,False,False,False,False,False
100434,2020-01-31,AMZN,True,2.1375045776367188,False,False,False,False,False,False,False,False,False,True,False,False
109053,2020-01-31,AMZN,True,2.1375045776367188,False,False,False,False,False,False,False,False,False,False,False,True
100432,2020-01-31,AMZN,True,2.1375045776367188,False,False,False,False,False,False,False,True,False,False,False,False
100425,2020-01-31,AMZN,True,2.1375045776367188,False,False,False,False,False,True,False,False,False,False,False,False
108051,2020-01-31,AMZN,True,2.1375045776367188,False,False,False,False,False,False,False,False,False,True,False,False
100423,2020-01-31,AMZN,True,2.1375045776367188,False,False,False,False,True,False,False,False,False,False,False,False
