id,date,ticker,senti_label,difference,emo_ambiguous,emo_amusement,emo_anger,emo_anxiety,emo_belief,emo_confusion,emo_depression,emo_disgust,emo_excitement,emo_optimism,emo_panic,emo_surprise
100013,2020-01-02,AAPL,True,-1.0275039672851562,False,False,False,False,False,False,False,True,False,False,False,False
108001,2020-01-02,AAPL,True,-1.0275039672851562,False,False,False,False,False,False,False,False,False,True,False,False
100007,2020-01-02,AAPL,True,-1.0275039672851562,False,True,False,False,False,False,False,False,False,False,False,False
100008,2020-01-02,AAPL,True,-1.0275039672851562,False,False,False,True,False,False,False,False,False,False,False,False
100009,2020-01-02,AAPL,True,-1.0275039672851562,False,False,False,False,False,False,False,False,False,True,False,False
100011,2020-01-02,AAPL,True,-1.0275039672851562,False,False,False,False,True,False,False,False,False,False,False,False
100012,2020-01-02,AAPL,True,-1.0275039672851562,False,False,False,False,False,False,False,False,False,True,False,False
108003,2020-01-02,AAPL,True,-1.0275039672851562,False,False,False,False,False,False,False,False,False,False,False,True
100016,2020-01-03,AAPL,True,-0.0699996948242187,True,False,False,False,False,False,False,False,False,False,False,False
100017,2020-01-03,AAPL,True,-0.0699996948242187,False,False,False,False,True,False,False,False,False,False,False,False
100018,2020-01-03,AAPL,True,-0.0699996948242187,False,False,False,True,False,False,False,False,False,False,False,False
100027,2020-01-03,AAPL,False,-0.0699996948242187,False,False,False,True,False,False,False,False,False,False,False,False
100015,2020-01-03,AAPL,True,-0.0699996948242187,False,False,False,False,False,False,False,False,False,True,False,False
109002,2020-01-03,AAPL,True,-0.0699996948242187,False,False,False,False,False,False,False,False,True,False,False,False
100028,2020-01-06,AAPL,True,-1.5024948120117188,False,False,False,False,False,False,False,True,False,False,False,False
100029,2020-01-06,AAPL,True,-1.5024948120117188,False,False,False,False,False,False,False,False,False,True,False,False
100043,2020-01-07,AAPL,True,0.3624954223632812,False,True,False,False,False,False,False,False,False,False,False,False
100056,2020-01-07,AAPL,False,0.3624954223632812,False,False,False,True,False,False,False,False,False,False,False,False
100057,2020-01-07,AAPL,False,0.3624954223632812,False,False,True,False,False,False,False,False,False,False,False,False
100067,2020-01-08,AAPL,False,-1.5074996948242188,False,False,False,False,False,True,False,False,False,False,False,False
100059,2020-01-08,AAPL,False,-1.5074996948242188,False,False,False,False,False,False,False,True,False,False,False,False
