,Unnamed: 0.1,Unnamed: 0,id,date,ticker,emo_label,senti_label,difference
0,0,6225,109017,2020-01-16,MSFT,anxiety,True,-1.8199920654296875
1,1,6226,100232,2020-01-17,MSFT,confusion,True,0.3199920654296875
2,2,6227,100274,2020-01-22,MSFT,optimism,False,1.6999969482421875
3,3,6228,109027,2020-01-22,MSFT,belief,False,1.6999969482421875
4,4,6229,108036,2020-01-23,MSFT,optimism,True,-0.529998779296875
5,5,6230,100369,2020-01-29,MSFT,anxiety,True,-0.1999969482421875
6,6,6231,100374,2020-01-29,MSFT,surprise,True,-0.1999969482421875
7,7,6232,100381,2020-01-29,MSFT,excitement,True,-0.1999969482421875
8,8,6233,100382,2020-01-29,MSFT,depression,True,-0.1999969482421875
9,9,6234,108042,2020-01-29,MSFT,anxiety,True,-0.1999969482421875
10,10,6235,109043,2020-01-30,MSFT,surprise,True,1.2700042724609375
11,11,6236,108047,2020-01-30,MSFT,confusion,True,1.2700042724609375
12,12,6237,100406,2020-01-30,MSFT,optimism,True,1.2700042724609375
13,13,6238,100397,2020-01-30,MSFT,anxiety,True,1.2700042724609375
14,14,6239,100396,2020-01-30,MSFT,belief,True,1.2700042724609375
15,15,6240,100384,2020-01-30,MSFT,belief,True,1.2700042724609375
16,16,6241,109054,2020-01-31,MSFT,confusion,True,1.980010986328125
17,17,6242,100429,2020-01-31,MSFT,optimism,True,1.980010986328125
18,18,6243,100520,2020-02-04,MSFT,belief,True,-2.9799957275390625
19,19,6244,100575,2020-02-05,MSFT,excitement,True,4.1300048828125
20,20,6245,100554,2020-02-05,MSFT,belief,True,4.1300048828125
21,21,6246,100551,2020-02-05,MSFT,belief,True,4.1300048828125
22,22,6247,100543,2020-02-05,MSFT,excitement,True,4.1300048828125
23,23,6248,100574,2020-02-05,MSFT,optimism,True,4.1300048828125
24,24,6249,100656,2020-02-07,MSFT,amusement,True,-1.039993286132841
25,25,6250,100639,2020-02-07,MSFT,disgust,True,-1.039993286132841
26,26,6251,109084,2020-02-10,MSFT,disgust,True,-5.1199951171875
27,27,6252,100681,2020-02-11,MSFT,belief,True,6.209991455078153
28,28,6253,100688,2020-02-11,MSFT,anxiety,True,6.209991455078153
29,29,6254,100697,2020-02-11,MSFT,anger,False,6.209991455078153
30,30,6255,100680,2020-02-11,MSFT,anxiety,True,6.209991455078153
31,31,6256,100758,2020-02-13,MSFT,confusion,True,-0.6300048828125
32,32,6257,100752,2020-02-13,MSFT,anxiety,True,-0.6300048828125
33,33,6258,100755,2020-02-13,MSFT,excitement,True,-0.6300048828125
34,34,6259,100756,2020-02-13,MSFT,anxiety,True,-0.6300048828125
35,35,6260,100757,2020-02-13,MSFT,belief,True,-0.6300048828125
36,36,6261,100781,2020-02-14,MSFT,ambiguous,True,-2.1000061035155966
37,37,6262,108096,2020-02-18,MSFT,optimism,True,-1.6199951171874716
38,38,6263,100793,2020-02-18,MSFT,excitement,True,-1.6199951171874716
39,39,6264,109101,2020-02-19,MSFT,anxiety,True,0.779998779296875
40,40,6265,100818,2020-02-19,MSFT,anxiety,True,0.779998779296875
41,41,6266,100830,2020-02-20,MSFT,anxiety,True,2.529998779296875
42,42,6267,100861,2020-02-21,MSFT,anxiety,False,4.5800018310546875
43,43,6268,100872,2020-02-24,MSFT,belief,False,-3.1199951171875
44,44,6269,108106,2020-02-25,MSFT,confusion,False,6.1299896240234375
45,45,6270,109118,2020-02-26,MSFT,anxiety,False,-0.459991455078125
46,46,6271,100938,2020-02-26,MSFT,ambiguous,False,-0.459991455078125
47,47,6272,100935,2020-02-26,MSFT,ambiguous,False,-0.459991455078125
48,48,6273,100934,2020-02-26,MSFT,anxiety,False,-0.459991455078125
49,49,6274,101002,2020-02-27,MSFT,ambiguous,False,5.1400146484375
50,50,6275,109130,2020-02-27,MSFT,optimism,True,5.1400146484375
51,51,6276,100993,2020-02-27,MSFT,belief,False,5.1400146484375
52,52,6277,100963,2020-02-27,MSFT,anger,True,5.1400146484375
53,53,6278,101046,2020-02-28,MSFT,excitement,False,-9.599990844726562
54,54,6279,108116,2020-02-28,MSFT,anxiety,True,-9.599990844726562
55,55,6280,109139,2020-02-29,MSFT,ambiguous,True,
56,56,6281,108121,2020-03-02,MSFT,ambiguous,True,-7.4799957275390625
57,57,6282,101093,2020-03-02,MSFT,belief,True,-7.4799957275390625
58,58,6283,101087,2020-03-02,MSFT,excitement,True,-7.4799957275390625
59,59,6284,101091,2020-03-02,MSFT,amusement,True,-7.4799957275390625
60,60,6285,101096,2020-03-02,MSFT,optimism,True,-7.4799957275390625
61,61,6286,101095,2020-03-02,MSFT,belief,True,-7.4799957275390625
62,62,6287,101164,2020-03-03,MSFT,confusion,False,9.290008544921877
63,63,6288,101150,2020-03-03,MSFT,optimism,True,9.290008544921877
64,64,6289,101198,2020-03-04,MSFT,anxiety,True,-2.05999755859375
65,65,6290,101244,2020-03-05,MSFT,belief,True,-0.220001220703125
66,66,6291,101223,2020-03-05,MSFT,belief,True,-0.220001220703125
67,67,6292,101232,2020-03-05,MSFT,ambiguous,True,-0.220001220703125
