id,date,ticker,emo_label,senti_label,Open,High,Low,Close,Adj Close,Volume
100013,2020-01-02,AAPL,disgust,bullish,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400.0
108001,2020-01-02,AAPL,optimism,bullish,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400.0
100007,2020-01-02,AAPL,amusement,bullish,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400.0
100008,2020-01-02,AAPL,anxiety,bullish,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400.0
100009,2020-01-02,AAPL,optimism,bullish,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400.0
100011,2020-01-02,AAPL,belief,bullish,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400.0
100012,2020-01-02,AAPL,optimism,bullish,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400.0
108003,2020-01-02,AAPL,surprise,bullish,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400.0
100016,2020-01-03,AAPL,ambiguous,bullish,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800.0
100017,2020-01-03,AAPL,belief,bullish,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800.0
100018,2020-01-03,AAPL,anxiety,bullish,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800.0
100027,2020-01-03,AAPL,anxiety,bearish,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800.0
100015,2020-01-03,AAPL,optimism,bullish,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800.0
109002,2020-01-03,AAPL,excitement,bullish,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800.0
100028,2020-01-06,AAPL,disgust,bullish,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,73.0186767578125,118387200.0
100029,2020-01-06,AAPL,optimism,bullish,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,73.0186767578125,118387200.0
100043,2020-01-07,AAPL,amusement,bullish,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.67527770996094,108872000.0
100056,2020-01-07,AAPL,anxiety,bearish,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.67527770996094,108872000.0
100057,2020-01-07,AAPL,anger,bearish,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.67527770996094,108872000.0
100067,2020-01-08,AAPL,confusion,bearish,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.84435272216797,132079200.0
